title,categories,address,price,date_posted,PIDs,beds,newly_built,serviced,furnished,baths,toilets,price_per_day_₦,price_per_month_₦,price_per_year_₦,state
Furnished 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,"N01w 4, Brains And Hammers City, Life Camp Life Camp Abuja","  80,000/day ",2022-08-26, 8HDRZ,4,True,True,True,4,5,80000,2400000,29200000,Abuja
Luxury 4 Bedroom Flat,4 BEDROOM HOUSE FOR SHORTLET,Fola Osibo Lekki Phase 1 Lekki Lagos,"  9,000,000/day ",2022-08-20, 1HCYU,4,False,True,False,4,4,9000000,270000000,3285000000,Lagos
Newly 4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  130,000,000 ",2022-03-08, 0GEGJ,4,False,False,False,4,4,130000000,1560000000,47450000000,Lagos
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Lagos,"  190,000/day ",2022-12-23, 1HUPM,4,True,True,True,4,5,190000,5700000,69350000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Lagos,"  120,000/day ",2021-06-07, 4EUQH,4,False,False,False,0,0,120000,3600000,43800000,Lagos
Executive 4 Bedroom Duplex With Excellent Facilities,4 BEDROOM HOUSE FOR SHORTLET,Ikate Lekki Lagos,"  140,000/day ",2021-07-12, 6EZZU,4,False,False,True,4,5,140000,4200000,51100000,Lagos
Exclusive 4 Bedroom Duplex Stand Alone,4 BEDROOM FLAT / APARTMENT FOR SHORTLET, Lekki Phase 1 Lekki Lagos,"  140,000/day ",2021-04-29, 2EPZJ,4,True,True,True,4,4,140000,4200000,51100000,Lagos
Exclusive 4bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET, Ikate Lekki Lagos,"  100,000/day ",2021-04-29, 1EPZL,4,True,True,True,4,4,100000,3000000,36500000,Lagos
4 Bedroom Terrace Duplex For Short Let,4 BEDROOM HOUSE FOR SHORTLET, Ikeja Lagos,"  120,000/day ",2021-05-17, 7ERVE,4,False,False,False,4,5,120000,3600000,43800000,Lagos
4 Bedroom Duplex With Swimming Pool Lekk Short Yi Ikate For,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  95,000/day ",2021-11-23, 6FSFL,4,False,True,True,4,5,95000,2850000,34675000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Bodija Ibadan Oyo,"  170,000/day ",2022-11-11, 4HPGJ,4,False,True,True,4,5,170000,5100000,62050000,Oyo
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Chisco Ikate Lekki Lagos,"  70,000/day ",2021-11-10, 7FQXK,4,False,False,False,4,5,70000,2100000,25550000,Lagos
Sophisticated Standard 4 Bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SHORTLET, Omole Phase 2 Ojodu Lagos,"  60,000/day ",2021-05-11, 7ERCF,4,False,False,False,6,6,60000,1800000,21900000,Lagos
Tastefully Furnished 4 Bedroom Fully Detached House For Shortlet Purposes,4 BEDROOM HOUSE FOR SHORTLET,Chevron Lekki Lagos,"  95,000/day ",2021-06-10, 4EVDU,4,False,False,False,4,5,95000,2850000,34675000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Lagos,"  300,000/day ",2022-11-23, 4HQUD,4,False,False,True,4,4,300000,9000000,109500000,Lagos
Haap Flex 4 Bedroom Shortlet At Bluewaters,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Bluewaters Apartment Lekki Phase 1 Lekki Lagos,"  150,000/day ",2023-02-24, 9JBHM,4,False,False,True,4,1,150000,4500000,54750000,Lagos
Luxury 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Asokoro Abuja,"  100,000/day ",2023-01-06, 5HVRC,4,True,True,True,4,5,100000,3000000,36500000,Abuja
4 Bedroom Terraced Duplex For Rent,4 BEDROOM FLAT / APARTMENT FOR SHORTLET," ahmed Kasamu Street, Chevy View Estate Chevron Lekki Lagos","  4,000,000 ",2019-01-22, 7BZEF,4,True,True,True,4,5,4000000,48000000,1460000000,Lagos
Executive 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Guzape Abuja,"  100,000/day ",2023-01-03, 2HVHP,4,False,True,True,4,5,100000,3000000,36500000,Abuja
Furnished 4 Bedroom Semi Detached House Lekki Phase 1 Lagos,4 BEDROOM HOUSE FOR SHORTLET,B19 Victoria Bay 3 Estate Ikate Lekkki Lagos Lekki Phase 1 Lekki Lagos,"  130,000/day ",2021-11-01, 6FPVX,4,True,True,True,4,5,130000,3900000,47450000,Lagos
Furnished 4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  120,000/day ",2022-04-13, 2GKGA,4,True,True,True,4,4,120000,3600000,43800000,Lagos
