title,categories,address,agent,price,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_per_day_₦,price_per_month_₦,price_per_year_₦,date_posted,date_updated,state
Eko Pearl Christmas Special Furnished 3 Bedroom Apartment @n200k,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Inside An Estate Guzape Abuja,megalux-homes,"  75,000/day ", 1FWQX,False,True,True,3,3,4,75000,2250000,27375000,2022-01-09,2023-08-09,Abuja
Standard 3 Bedroom,3 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Lagos,joan-ama,"  110,000/day ", 7HUXV,True,True,True,2,2,3,110000,3300000,40150000,2022-12-28,2023-08-09,Lagos
Furnished 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Victoria Island Lagos,degeniusxpropertyworld,"  75,000/day ", 6JKJB,False,True,True,2,2,3,75000,2250000,27375000,2023-05-04,2023-08-09,Lagos
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,ezekiel-bassey,"  650,000/day ", 1HFRU,True,False,False,2,2,3,650000,19500000,237250000,2022-09-12,2023-08-09,Lagos
Haap Flex 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,"No 10, Bashorun Okunsanya Street Off Admiralty Way, Admiralty Road Lekki Phase 1 Lekki Lagos",gcs-homes-ltd,"  95,000/day ", 3GQFL,False,False,True,2,2,1,95000,2850000,34675000,2022-05-20,2023-08-09,Lagos
1 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,kennedy-otunku,"  70,000/day ", 7GEZT,True,True,True,2,2,2,70000,2100000,25550000,2022-03-13,2023-08-11,Lagos
Newly Built 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Adeniran Ogunsanya Surulere Lagos,property-magnate,"  45,000/day ", 1GZQJ,True,False,True,2,3,3,45000,1350000,16425000,2022-07-26,2023-08-09,Lagos
2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ajao Estate Isolo Lagos,apartmentf4,"  35,000/day ", 2JVVN,False,False,False,2,2,2,35000,1050000,12775000,2023-07-24,2023-08-09,Lagos
2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Off Ladoke Akintola Boulevard (old Cbn) Garki 2 Abuja,leewardproperties,"  60,000 ", 5CNPQ,False,True,True,2,2,2,60000,720000,21900000,2019-08-28,2023-08-09,Abuja
Luxury Furnished Two (2) Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR SHORTLET,Banana Island Ikoyi Lagos,kennedy-otunku,"  90,000/day ", 5JPRL,True,True,True,2,2,3,90000,2700000,32850000,2023-06-06,2023-08-11,Lagos
