title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦,date_posted,date_updated,type,state
Newly Built 3 Bedroom Flat + Bq,3 BEDROOM FLAT / APARTMENT FOR RENT,"Greenland Estate, Mende Maryland Lagos",frank-nelly, 3KAGY,True,False,False,3,3,4,4000000,2023-08-24,2023-09-08,rent,Lagos
Newly Built Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Onipanu Shomolu Lagos,461, 0KAGU,True,True,False,1,2,2,1000000,2023-08-24,2023-09-08,rent,Lagos
Newly Built 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Palmgroove Shomolu Lagos,461, 2KAGT,True,True,False,2,3,3,1500000,2023-08-24,2023-09-08,rent,Lagos
Self Contain,1 BEDROOM FLAT / APARTMENT FOR RENT,Ologolo Lekki Lagos,rentalhub_island, 2KAFE,False,False,False,1,0,0,380000,2023-08-24,2023-09-08,rent,Lagos
Newly Built 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Onipanu Shomolu Lagos,461, 9KAEX,True,True,False,2,3,3,1500000,2023-08-24,2023-09-08,rent,Lagos
9 Bedroom Detached Duplex,9 BEDROOM HOUSE FOR RENT,Maitama Abuja,ademeso-olalekan-ademola, 3KAEV,True,False,False,9,9,9,60000000,2023-08-24,2023-09-08,rent,Abuja
Executive 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Ikorodu Road(ilupeju) Ilupeju Lagos,kingjosh-properties, 0KAFG,True,False,False,2,3,3,1300000,2023-08-24,2023-09-08,rent,Lagos
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,Ifako Gbagada Gbagada Lagos,frank-nelly, 2JZYB,True,False,False,3,3,4,2800000,2023-08-22,2023-09-08,rent,Lagos
Newly Built 3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,Obanikoro Shomolu Lagos,461, 0KABX,True,True,True,3,4,4,2000000,2023-08-23,2023-09-08,rent,Lagos
Newly Built 3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,Palmgroove Shomolu Lagos,461, 7KABW,True,True,True,3,4,4,2000000,2023-08-23,2023-09-08,rent,Lagos
Newly Built 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Obanikoro Shomolu Lagos,461, 9KABV,True,True,True,2,3,3,1700000,2023-08-23,2023-09-08,rent,Lagos
Newly Built 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,Palmgroove Shomolu Lagos,461, 5KABV,True,True,True,2,3,3,1700000,2023-08-23,2023-09-08,rent,Lagos
Shared Apartment For Rent At Ikota Villa Estate,1 BEDROOM FLAT / APARTMENT FOR RENT,Ikota Lekki Lagos,boniface-fortune, 2KABB,False,False,False,1,1,1,800000,2023-08-23,2023-09-08,rent,Lagos
1 Bedroom In A Shared Apartment,1 BEDROOM HOUSE FOR RENT,"Chevy View Estate, Chevron Lekki Lagos",city-garden-real-estate-ltd, 9JZZM,True,True,False,3,3,4,700000,2023-08-22,2023-09-08,rent,Lagos
Studio Apartment,1 BEDROOM HOUSE FOR RENT,"Chevy View Estate, Chevron Lekki Lagos",plugwalk-propertys-ltd, 4JZZM,True,True,False,5,5,6,1500000,2023-08-22,2023-09-08,rent,Lagos
Master's Bedroom In A Shared Apartment,1 BEDROOM HOUSE FOR RENT,"Chevy View Estate, Chevron Lekki Lagos",ung-homes-and-co, 1JZZM,True,True,False,2,2,3,1400000,2023-08-22,2023-09-08,rent,Lagos
Bonded Terminal/truck Parking Lot,LAND FOR RENT,Amuwo Odofin Lagos,mo-global-ventures, 2JZZL,False,False,False,1,1,1,120000000,2023-08-22,2023-09-08,rent,Lagos
Serviced 3 Bedroom Semi Detached Duplex + Bq,3 BEDROOM HOUSE FOR RENT,Abraham Adesanya Estate Ajah Lagos,adetunji-joseph1, 4JZZK,False,False,False,0,0,0,3500000,2023-08-22,2023-09-08,rent,Lagos
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,Alagomeji Yaba Lagos,frank-nelly, 4JZNX,False,False,False,3,3,4,3000000,2023-08-18,2023-09-08,rent,Lagos
Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"Olukolu, Igbo Efon Lekki Lagos",prince-ademola-osinuga, 6JZVL,False,True,False,3,3,4,1300000,2023-08-21,2023-09-08,rent,Lagos
Newly Built 3 Bedroom Duplex,HOUSE FOR RENT,Coker Road Ilupeju Lagos,461, 1JZUW,True,True,True,0,0,0,7000000,2023-08-21,2023-09-08,rent,Lagos
4 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR RENT,Katampe Ext Abuja,properties-navigators-nigeria-limited, 0JZTR,True,True,False,5,6,6,15000000,2023-08-20,2023-09-08,rent,Abuja
Brand New Spacious 2 Bedroom Upstairs Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"Hopeville Estate, Sangotedo Ajah Lagos",michael-christian, 2JZQT,True,True,False,2,2,3,2000000,2023-08-19,2023-09-08,rent,Lagos
Furnished 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,Badore Ajah Lagos,jufy99livecouk, 8JZQS,True,False,True,2,3,3,900000,2023-08-19,2023-09-08,rent,Lagos
1 Room Office/shop Space,COMMERCIAL PROPERTY FOR RENT,"By Wempco Road, Ogba Bus Stop Ogba Lagos",prince-uche, 1JZQS,False,False,False,0,0,0,350000,2023-08-19,2023-09-08,rent,Lagos
A Self Contained Room,FLAT / APARTMENT FOR RENT,Iponri Surulere Lagos,prince-uche, 1JZQR,False,False,False,0,1,1,400000,2023-08-19,2023-09-08,rent,Lagos
Newly Built 4 Bedroom Duplex,HOUSE FOR RENT,Ikoyi Lagos,461, 9JZKH,False,False,False,0,0,0,15000000,2023-08-17,2023-09-08,rent,Lagos
Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,Fehintola Giwa Street Aguda Surulere Lagos,andy-gods-time-ltd, 2JZLL,False,False,False,1,1,1,1000000,2023-08-18,2023-09-08,rent,Lagos
