title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦,date_posted,date_updated,state
5 Bedroom Fully Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Orchid Chevron Lekki Lagos,aitoproperties, 0JXSF,False,False,False,0,0,0,300000000,2023-08-06,2023-08-12,Lagos
5 Bedroom Fully Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Orchid Chevron Lekki Lagos,samuel-reuben1, 6JXSE,True,False,True,4,4,5,150000000,2023-08-06,2023-08-12,Lagos
New 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR SALE,Orchid Chevron Lekki Lagos,itj-realtor, 5JXSE,True,False,True,4,5,5,280000000,2023-08-06,2023-08-12,Lagos
5 Bedroom Fully Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Orchid Chevron Lekki Lagos,sylvanus-agu, 2JXSE,True,False,True,4,4,5,70000000,2023-08-06,2023-08-12,Lagos
4 Bedroom Terrace Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Orchid Chevron Lekki Lagos,wendeehomes, 9JXSD,True,False,True,4,0,0,75000000,2023-08-06,2023-08-12,Lagos
4 Bedroom Semi Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Orchid Chevron Lekki Lagos,sylvanus-agu, 6JXSD,True,False,True,5,5,6,135000000,2023-08-06,2023-08-12,Lagos
5 Bedroom Terrace Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Orchid Chevron Lekki Lagos,sylvanus-agu, 9JXSC,True,False,True,1,1,2,320000000,2023-08-06,2023-08-12,Lagos
Serviced 1 Bedroom Apartment,1 BEDROOM FLAT / APARTMENT FOR SALE,Ologolo Lekki Lagos,itj-realtor, 4JXSC,True,False,True,5,6,6,270000000,2023-08-06,2023-08-12,Lagos
4 Bedroom Fully Detached Duplex With Bq,4 BEDROOM HOUSE FOR SALE,Lekki County Ikota Lekki Lagos,tos-property-services, 8JXSB,True,False,True,1,0,2,270000000,2023-08-06,2023-08-12,Lagos
6 Units Of 3 Bedroom Flat,10 BEDROOM HOUSE FOR SALE,Osapa London Lekki Lagos,itj-realtor, 4JXSB,True,False,True,5,6,6,380000000,2023-08-06,2023-08-12,Lagos
5 Bedroom Fully Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Lekki County Ikota Lekki Lagos,itj-realtor, 3JXSB,True,False,True,5,6,6,270000000,2023-08-06,2023-08-12,Lagos
5 Bedroom Fully Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Ikate Lekki Lagos,itj-realtor, 1JXSB,True,False,True,4,5,5,260000000,2023-08-06,2023-08-12,Lagos
5 Bedroom Fully Detached Duplex With Bq,5 BEDROOM HOUSE FOR SALE,Ajah Lagos,itj-realtor, 1JXRY,True,False,True,4,5,5,120000000,2023-08-06,2023-08-12,Lagos
