title,categories,address,agent,PIDs,newly_built,serviced,furnished,beds,baths,toilets,price_₦_yearly,date_posted,date_updated,state
3 Bedroom Flat,3 BEDROOM FLAT / APARTMENT FOR RENT,"Peninsula Garden Estate, Blenco, Sangotedo Lagos",king-palace-consulting, 2JMYD,False,False,False,3,3,4,2500000,2023-05-24,2023-07-27 00:00:00,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,Ikate Lekki Lagos,city-garden-real-estate-ltd, 0JMYD,False,False,False,4,4,5,8000000,2023-05-24,2023-07-31 00:00:00,Lagos
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,Behind Petrocam Filling Station Lekki Lagos,king-palace-consulting, 8JMYC,False,False,False,3,3,4,3000000,2023-05-24,2023-07-27 00:00:00,Lagos
Miniflat With Modern Finishings At Yaba,FLAT / APARTMENT FOR RENT,Alagomeji Yaba Lagos,afeez-ahmed-(oworo)---tpa, 7JMYC,False,False,False,0,0,0,900000,2023-05-24,2023-07-27 00:00:00,Lagos
Self Compound 4 Bedroom With Farm Space In Idi Omo Ojoo,4 BEDROOM HOUSE FOR RENT,Ojoo Ibadan Oyo,smartasset-plumbing-and-real-estate-services1, 6JMYC,False,False,False,4,4,3,300000,2023-05-24,2023-07-28 00:00:00,Oyo
3 Bedroom Apartment Modern Finishing In Gbagada,FLAT / APARTMENT FOR RENT,Gbagada Lagos,afeez-ahmed-(oworo)---tpa, 4JMYC,False,False,False,0,0,0,2800000,2023-05-24,2023-07-27 00:00:00,Lagos
"Miniflat With Modern Finishings, In A Serene Area",FLAT / APARTMENT FOR RENT,Yaba Lagos,afeez-ahmed-(oworo)---tpa, 1JMYC,False,False,False,0,0,0,800000,2023-05-24,2023-07-27 00:00:00,Lagos
2 Bedroom Flat With All Rooms Ensuite Pop Finishing,FLAT / APARTMENT FOR RENT,Ogba Lagos,afeez-ahmed-(oworo)---tpa, 9JMYB,False,False,False,0,0,0,1500000,2023-05-24,2023-07-27 00:00:00,Lagos
Room Self Contain,FLAT / APARTMENT FOR RENT,Spg Lekki Lagos,gracealtar-homes1, 1JMYA,False,False,False,0,0,0,800000,2023-05-24,2023-07-27 00:00:00,Lagos
5 Bedroom Terrace Duplex,5 BEDROOM FLAT / APARTMENT FOR RENT,Jahi Abuja,macbeals-integrated-services, 9JMXY,False,False,True,5,6,6,7000000,2023-05-24,2023-07-27 00:00:00,Abuja
